dt,gw,status,home,away,pH,pD,pA,pO25,o1,ox,o2,o25,iH,iD,iA,hg,ag,res
2026-01-26 20:00:00,2.0,complete,Platense,Instituto,0.3673868242101222,0.248405003214087,0.3842081725757909,0.6031899508433459,2.62,2.65,3.35,3.6,0.360910661652607,0.3568248805772945,0.2822644577700986,2,1,H
2026-01-27 20:45:00,2.0,complete,Vélez Sarsfield,Talleres Córdoba,0.20661084168619911,0.2372952477128163,0.5560939106009845,0.552920942764933,2.31,2.9,3.74,2.72,0.4142160981347673,0.3299445471349353,0.2558393547302974,2,1,H
2026-01-27 23:00:00,2.0,complete,Huracán,Independiente Rivadavia,0.2769455403492835,0.26076725946643264,0.4622872001842839,0.520582349781948,2.09,2.7,4.2,2.89,0.4402003027832771,0.3407476417840922,0.2190520554326307,1,2,A
2026-01-27 23:00:00,2.0,complete,Gimnasia Mendoza,San Lorenzo,0.2947237694745336,0.23679341236375723,0.4684828181617092,0.633418418333936,2.65,2.69,2.22,3.12,0.31458176397149074,0.3099039682247028,0.3755142678038064,0,1,A
2026-01-28 01:15:00,2.0,complete,Atlético Tucumán,Central Córdoba SdE,0.3885972858449081,0.22399616749836704,0.3874065466567248,0.7180460765090027,2.2,3.1,3.6,2.21,0.43088803088803085,0.30579150579150577,0.2633204633204633,0,0,D
2026-01-28 01:15:00,2.0,complete,Newell's Old Boys,Independiente,0.3325659500643568,0.27509052263787137,0.39234352729777194,0.48450716651574544,2.97,2.66,2.5,2.61,0.3026138556190615,0.33788088390549353,0.3595052604754451,1,1,D
2026-01-28 20:00:00,2.0,complete,Aldosivi,Barracas Central,0.39794982960706077,0.289933623470101,0.3121165469228384,0.424095377989246,2.5,2.75,3.5,3.15,0.38118811881188125,0.34653465346534656,0.2722772277227723,0,0,D
2026-01-28 22:00:00,2.0,complete,Racing Club,Rosario Central,0.27167144285749356,0.21466446050983048,0.513664096632676,0.7177817007535479,2.15,3.1,3.5,2.19,0.4333067092651757,0.30051916932907347,0.2661741214057508,1,2,A
2026-01-28 23:00:00,2.0,complete,River Plate,Gimnasia La Plata,0.715924676091614,0.16729746637240656,0.11677785753597929,0.6918750391170265,1.51,4.0,7.03,2.2,0.6280248261876527,0.23707937188583886,0.13489580192650857,2,0,H
2026-01-29 01:15:00,2.0,complete,Estudiantes,Boca Juniors,0.14314208832801373,0.19681165588497482,0.6600462557870114,0.620424406623834,3.08,2.73,2.7,3.1,0.3059090116785776,0.3451281157399337,0.3489628725814885,2,1,H
2026-01-29 20:00:00,2.0,complete,Deportivo Riestra,Defensa y Justicia,0.284213851369355,0.330481170934156,0.3853049776964889,0.2938386652290176,2.14,2.8,3.55,3.1,0.42245739300437757,0.32287815036763146,0.25466445662799103,0,1,A
2026-01-29 22:15:00,2.0,complete,Belgrano,Tigre,0.5065556076867672,0.2448427401963166,0.2486016521169162,0.5655087193895855,1.9,2.82,4.35,2.8,0.4738122827346466,0.3192352259559676,0.20695249130938592,1,1,D
2026-01-29 22:15:00,2.0,complete,Lanús,Unión Santa Fe,0.5448183943465202,0.21515531876168717,0.24002628689179267,0.6872510161318812,2.05,2.9,4.2,2.7,0.45558256966523286,0.32204974752197496,0.2223676828127922,2,1,H
2026-01-30 00:30:00,2.0,complete,Sarmiento,Banfield,0.15838674650683712,0.29779746237113336,0.5438157911220297,0.30068330204471105,3.5,2.62,2.3,2.83,0.25922739396025124,0.3462961369698012,0.39447646906994754,1,0,H
2026-01-30 00:30:00,2.0,complete,Estudiantes Río Cuarto,Argentinos Juniors,0.15062085185660462,0.16478561505107336,0.6845935330923221,0.7841456525789132,5.25,3.1,1.8,2.85,0.17824628653569718,0.3018687110685194,0.5198850023957835,0,0,D
2026-01-31 20:30:00,3.0,complete,San Lorenzo,Central Córdoba SdE,0.5183426433803272,0.24737373815472175,0.23428361846495097,0.5419595678751794,1.88,2.84,5.47,2.94,0.4985878244794208,0.33005109507792646,0.17136108044265286,1,0,H
2026-01-31 22:45:00,3.0,complete,Independiente,Vélez Sarsfield,0.32415480000715385,0.285539371523972,0.39030582846887424,0.4427448994032601,2.1,2.95,3.9,2.88,0.44438006952491305,0.3163383545770567,0.23928157589803015,1,1,D
2026-02-01 01:00:00,3.0,complete,Atlético Tucumán,Huracán,0.6287863427309922,0.20512912085181453,0.16608453641719342,0.6289841532369367,2.6,2.73,3.2,3.1,0.3616792249730893,0.34445640473627553,0.2938643702906351,1,1,D
2026-02-01 01:00:00,3.0,complete,Talleres Córdoba,Platense,0.5680913232973491,0.20740672679019945,0.22450194991245148,0.7051437958292409,1.98,2.8,4.33,2.8,0.46201803257448154,0.3267127516062405,0.2112692158192779,1,2,A
2026-02-01 20:00:00,3.0,complete,Barracas Central,Deportivo Riestra,0.45165136952173784,0.27554032445241095,0.2728083060258515,0.4609699540193454,3.12,2.33,2.85,3.94,0.29122317681266197,0.38996408225558177,0.31881274093175627,1,1,D
2026-02-01 22:15:00,3.0,complete,Boca Juniors,Newell's Old Boys,0.5917817193362003,0.21426402808146475,0.19395425258233484,0.634145145954233,1.55,3.9,6.5,2.39,0.6112852664576801,0.24294670846394983,0.1457680250783699,2,0,H
2026-02-02 00:30:00,3.0,complete,Rosario Central,River Plate,0.25896817676209366,0.20672794191845834,0.5343038813194478,0.743199526083735,2.8,2.9,2.87,2.65,0.3400057191878753,0.3282813840434658,0.3317128967686588,0,0,D
2026-02-02 20:30:00,3.0,complete,Gimnasia La Plata,Aldosivi,0.24978046335639567,0.32107501236081315,0.42914452428279115,0.3067392884715936,2.2,2.77,4.36,3.1,0.43500749193176574,0.34549331489165513,0.21949919317657904,3,1,H
2026-02-02 22:45:00,3.0,complete,Defensa y Justicia,Estudiantes,0.3196027460550178,0.29047790877624924,0.38991934516873294,0.42383467229640903,2.93,2.8,2.41,2.7,0.30654195418224434,0.3207742591978485,0.372683786619907,0,0,D
2026-02-02 22:45:00,3.0,complete,Tigre,Racing Club,0.22457232141096203,0.2345495823597098,0.540878096229328,0.5853820716523042,3.5,2.85,2.33,3.01,0.26808098342786785,0.3292222603500131,0.4026967562221191,3,1,H
2026-02-03 01:00:00,3.0,complete,Argentinos Juniors,Belgrano,0.6150857185723165,0.18859021104296386,0.1963240703847198,0.7535240387776887,1.54,3.25,5.7,2.3,0.5733873963105114,0.2716974124055962,0.15491519128389253,0,0,D
2026-02-03 01:00:00,3.0,complete,Unión Santa Fe,Gimnasia Mendoza,0.4295152707587113,0.250328612459923,0.32015611678136574,0.5850800405059309,1.72,2.95,4.7,2.63,0.5130814491359212,0.2991525737334863,0.18776597713059245,4,0,H
2026-02-03 22:00:00,3.0,complete,Banfield,Estudiantes Río Cuarto,0.4456916976685189,0.28721416465358673,0.26709413767789447,0.41632913969037855,1.9,2.9,3.95,2.87,0.4681242337556191,0.306702084184716,0.22517368205966487,2,1,H
2026-02-04 00:15:00,3.0,complete,Instituto,Lanús,0.39440171186998296,0.23764705539224987,0.36795123273776714,0.6529141038932147,2.86,2.54,2.57,2.85,0.308753973058877,0.34765211139700314,0.34359391554411983,2,2,D
2026-02-04 00:15:00,3.0,complete,Independiente Rivadavia,Sarmiento,0.4127556901465507,0.2572860985982394,0.32995821125520985,0.5578248147178759,1.64,3.25,4.15,2.57,0.5263722754502702,0.26561554822721334,0.20801217632251642,2,1,H
2026-02-07 00:00:00,4.0,complete,Central Córdoba SdE,Unión Santa Fe,0.22135956429454184,0.2251314908294135,0.5535089448760449,0.622372520956851,3.16,2.77,2.56,3.1,0.29628144062839473,0.33799615609593053,0.3657224032756748,1,0,H
2026-02-07 20:00:00,4.0,complete,Aldosivi,Rosario Central,0.32061792494208796,0.2588592613264511,0.42052281373146094,0.5483802249373426,4.0,2.9,2.2,3.4,0.23823749066467512,0.3286034353995519,0.4331590739357729,1,1,D
2026-02-07 21:00:00,4.0,complete,Racing Club,Argentinos Juniors,0.34191793460027764,0.210070872193182,0.44801119320654026,0.7754315140122529,2.62,3.0,3.04,2.34,0.36560726083191686,0.3192970077932074,0.3150957313748758,2,1,H
2026-02-07 23:00:00,4.0,complete,River Plate,Tigre,0.6195083265054269,0.1997443384691126,0.1807473350254605,0.6785614796590353,1.57,3.65,6.0,2.35,0.5910851405514096,0.25424758100430495,0.15466727844428552,1,4,A
2026-02-08 01:15:00,4.0,complete,Belgrano,Banfield,0.4739873502936068,0.2479933099978112,0.278019339708582,0.5743351439342381,1.95,3.25,4.2,2.25,0.4844290657439447,0.2906574394463668,0.22491349480968856,1,0,H
2026-02-08 01:15:00,4.0,complete,Newell's Old Boys,Defensa y Justicia,0.27867927973663986,0.28154911714427344,0.4397716031190866,0.4420248506932627,2.03,2.91,4.04,2.94,0.4545310440017166,0.3170783571558366,0.22839059884244667,2,3,A
