timestamp,date_GMT,status,attendance,home_team_name,away_team_name,referee,Game Week,Pre-Match PPG (Home),Pre-Match PPG (Away),home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_goal_timings,away_team_goal_timings,home_team_corner_count,away_team_corner_count,home_team_yellow_cards,home_team_red_cards,away_team_yellow_cards,away_team_red_cards,home_team_first_half_cards,home_team_second_half_cards,away_team_first_half_cards,away_team_second_half_cards,home_team_shots,away_team_shots,home_team_shots_on_target,away_team_shots_on_target,home_team_shots_off_target,away_team_shots_off_target,home_team_fouls,away_team_fouls,home_team_possession,away_team_possession,Home Team Pre-Match xG,Away Team Pre-Match xG,team_a_xg,team_b_xg,average_goals_per_match_pre_match,btts_percentage_pre_match,over_15_percentage_pre_match,over_25_percentage_pre_match,over_35_percentage_pre_match,over_45_percentage_pre_match,over_15_HT_FHG_percentage_pre_match,over_05_HT_FHG_percentage_pre_match,over_15_2HG_percentage_pre_match,over_05_2HG_percentage_pre_match,average_corners_per_match_pre_match,average_cards_per_match_pre_match,odds_ft_home_team_win,odds_ft_draw,odds_ft_away_team_win,odds_ft_over15,odds_ft_over25,odds_ft_over35,odds_ft_over45,odds_btts_yes,odds_btts_no,stadium_name
1769112000,Jan 22 2026 - 8:00pm,complete,N/A,Aldosivi,Defensa y Justicia,Daniel Zamora,1,0.00,0.00,0.50,1.19,0,0,0,0,0,0,"","",4,4,4,0,0,0,1,3,0,0,9,10,3,2,6,8,18,6,45,55,0.00,0.00,1.11,1.04,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,3.05,3.05,1.48,2.25,5.00,11.00,2.05,1.67,Estadio José María Minella
1769122800,Jan 22 2026 - 11:00pm,complete,N/A,Unión Santa Fe,Platense,Pablo Echavarría,1,0.00,0.00,1.33,1.00,0,0,0,0,0,0,"","",3,4,2,0,1,0,1,1,1,0,19,12,3,5,16,7,11,7,52,48,0.00,0.00,1.62,1.34,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.10,2.80,3.95,1.72,3.10,5.70,15.00,2.58,1.50,Estadio 15 de Abril
1769122800,Jan 22 2026 - 11:00pm,complete,N/A,Banfield,Huracán,Bruno Amiconi,1,0.00,0.00,1.13,1.39,1,1,2,0,0,0,"47","84",4,2,3,1,4,1,1,3,1,4,14,11,4,4,10,7,8,14,38,62,0.00,0.00,1.33,1.19,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.84,2.71,2.95,1.79,3.12,6.50,11.00,2.30,1.53,N/A
1769130900,Jan 23 2026 - 1:15am,complete,N/A,Central Córdoba SdE,Gimnasia Mendoza,Hernán Mastrángelo,1,0.00,0.00,1.00,1.19,0,1,1,1,0,1,"","5",14,2,0,0,1,0,0,0,0,1,16,11,4,4,12,7,9,10,69,31,0.00,0.00,1.86,1.24,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.12,2.70,3.65,1.68,2.80,5.75,14.50,2.25,1.57,N/A
1769130900,Jan 23 2026 - 1:15am,complete,N/A,Instituto,Vélez Sarsfield,Andrés Merlos,1,0.00,0.00,1.31,1.65,0,1,1,0,0,0,"","90'1",4,2,3,0,5,0,0,3,1,4,13,7,5,3,8,4,10,15,47,53,0.00,0.00,1.58,0.91,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.78,2.78,2.88,1.66,3.00,6.53,11.00,2.24,1.57,N/A
1769205600,Jan 23 2026 - 10:00pm,complete,N/A,San Lorenzo,Lanús,Pablo Dóvalo,1,0.00,0.00,1.35,1.41,2,3,5,2,0,2,"53,86","24,73,30",6,8,1,0,4,0,0,1,2,2,17,13,4,6,13,7,14,20,59,41,0.00,0.00,1.84,1.61,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.73,2.47,3.16,1.75,3.20,7.50,18.00,2.45,1.44,N/A
1769209200,Jan 23 2026 - 11:00pm,complete,N/A,Independiente,Estudiantes,Nazareno Arasa,1,0.00,0.00,1.41,1.82,1,1,2,1,1,0,"45","46",10,5,2,1,4,0,1,2,3,1,13,11,3,2,10,9,9,10,40,60,0.00,0.00,1.37,0.97,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,2.40,2.77,3.39,1.50,2.87,0.00,0.00,2.25,1.57,Estadio Presidente Juan Domingo Perón
1769217300,Jan 24 2026 - 1:15am,complete,N/A,Independiente Rivadavia,Atlético Tucumán,Brian Ferreyra,1,0.00,0.00,2.00,0.88,2,1,3,2,1,1,"9,79","41",1,3,2,0,3,0,0,2,0,3,11,14,5,5,6,9,13,12,42,58,0.00,0.00,1.36,1.62,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.88,3.04,4.20,1.44,2.55,4.33,10.00,2.24,1.74,Estadio Juan Bautista Gargantini
1769217300,Jan 24 2026 - 1:15am,complete,N/A,Talleres Córdoba,Newell's Old Boys,Luis Lobo Medina,1,0.00,0.00,1.53,0.94,2,1,3,0,0,0,"58,86","90",11,4,1,0,1,1,0,1,0,2,17,10,6,3,11,7,8,10,72,28,0.00,0.00,1.85,1.08,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,1.83,3.25,4.64,1.55,2.51,5.48,10.00,2.25,1.57,Estadio Juan Domingo Perón
1769284800,Jan 24 2026 - 8:00pm,complete,N/A,Barracas Central,River Plate,Nicolás Ramírez,1,0.00,0.00,1.31,1.80,0,1,1,0,0,0,"","59",6,6,2,0,2,0,1,1,0,2,11,20,2,7,9,13,15,9,33,67,0.00,0.00,1.10,2.26,0.00,0,0,0,0,0,0,0,0,0,0.00,0.00,4.67,3.20,1.84,1.44,2.50,5.25,9.50,2.18,1.61,Estadio Claudio Chiqui Tapia
